,name,height,weight,collage,born,birth_city,birth_state
801,Kostas Papanikolaou,203,102,,1990,Trikala,Greece
802,Jabari Parker,203,113,Duke University,1995,Chicago,Illinois
803,Adreian Payne,208,107,Michigan State University,1991,Dayton,Ohio
804,Elfrid Payton,193,83,University of Louisiana at Lafayette,1994,Gretna,Louisiana
805,Dwight Powell,211,108,Stanford University,1991,Toronto,Canada
806,Julius Randle,206,113,University of Kentucky,1994,Dallas,Texas
807,Damjan Rudez,208,103,,1986,Zagreb,Croatia
808,JaKarr Sampson,211,106,University of California,1983,Inglewood,California
809,Marcus Smart,193,99,Oklahoma State University,1994,Flower Mound,Texas
810,Russ Smith,183,74,University of Louisville,1991,New York,New York
811,Nik Stauskas,198,92,University of Michigan,1993,Mississauga,Canada
812,David Stockton,180,74,Gonzaga University,1991,Spokane,Washington
813,Jarnell Stokes,206,119,University of Tennessee,1994,Memphis,Tennessee
814,Noah Vonleh,208,108,Indiana University,1995,Haverhill,Massachusetts
815,T.J. Warren,208,108,,1995,,
816,David Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California
817,Travis Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California
818,Shayne Whittington,211,113,Western Michigan University,1991,Paw Paw,Michigan
819,Andrew Wiggins,203,90,University of Kansas,1995,Toronto,Canada
820,C.J. Wilcox,203,90,,1995,,
821,James Young,198,97,University of Kentucky,1995,Flint,Michigan
822,Cliff Alexander,203,111,University of Kansas,1995,Chicago,Illinois
823,Justin Anderson,198,103,University of Virginia,1993,Montross,Virginia
824,Thanasis Antetokounmpo,201,92,,1992,Athens,Greece
825,Keith Appling,185,83,Michigan State University,1992,Detroit,Michigan
826,Nemanja Bjelica,208,108,,1988,Belgrade,Serbia
827,Devin Booker,198,93,University of Kentucky,1996,Grand Rapids,Michigan
828,Anthony Brown,206,111,DePaul University,1981,Chicago,Illinois
829,Willie Cauley-Stein,213,108,University of Kentucky,1993,Spearville,Kansas
830,Rakeem Christmas,206,113,Syracuse University,1991,Irvington,New Jersey
831,Coty Clarke,201,105,University of Arkansas,1992,Antioch,Tennessee
832,Pat Connaughton,196,93,University of Notre Dame,1993,Arlington,Massachusetts
833,Branden Dawson,198,102,Michigan State University,1993,Gary,Indiana
834,Bryce Dejean-Jones,198,94,Iowa State University,1992,Los Angeles,California
835,Sam Dekker,206,104,University of Wisconsin,1994,Sheboygan,Wisconsin
836,Duje Dukan,206,99,University of Wisconsin,1991,Split,Croatia
837,Jarell Eddie,201,98,Virginia Polytechnic Institute and State University,1991,Tampa,Florida
838,Cristiano Felicio,208,124,,1992,Pouso Alegre,Brazil
839,Jerian Grant,203,95,Syracuse University,1994,Portland,Oregon
840,Montrezl Harrell,203,108,University of Louisville,1994,Tarboro,North Carolina
841,Aaron Harrison,198,95,University of Kentucky,1994,San Antonio,Texas
842,Mario Hezonja,203,97,,1995,Dubrovnik,Croatia
843,Darrun Hilliard,198,92,Villanova University,1993,Bethlehem,Pennsylvania
844,Rondae Hollis-Jefferson,201,99,University of Arizona,1995,Chester,Pennsylvania
845,Richaun Holmes,208,111,Bowling Green State University,1993,Lockport,Illinois
846,Marcelo Huertas,190,90,,1983,Sao Paulo,Brazil
847,Josh Huestis,201,104,Stanford University,1991,Webster,Texas
848,R.J. Hunter,201,104,,1991,,
849,Damien Inglis,203,111,,1995,Cayenne,French Guiana
850,Nikola Jokic,208,113,,1995,Sombor,Serbia
851,Tyus Jones,188,88,Duke University,1996,Burnsville,Minnesota
852,Frank Kaminsky,213,109,University of Wisconsin,1993,Winfield,Illinois
853,Sasha Kaun,211,117,University of Kansas,1985,Tomsk,Russia
854,Kevon Looney,206,99,"University of California, Los Angeles",1996,Milwaukee,Wisconsin
855,Trey Lyles,208,106,University of Kentucky,1995,Saskatoon,Canada
856,Boban Marjanovic,221,131,,1988,Zajecar,Serbia
857,Jarell Martin,208,108,Louisiana State University,1994,Baton Rouge,Louisiana
858,T.J. McConnell,208,108,,1994,,
859,Chris McCullough,211,90,Syracuse University,1995,Bronx,New York
860,Jordan McRae,198,83,University of Tennessee,1991,Savannah,Georgia
861,Salah Mejri,216,111,,1986,Jendouba,Tunisia
862,Jordan Mickey,203,106,Louisiana State University,1994,Dallas,Texas
863,Luis Montero,201,83,Westchester CC,1993,Santo Domingo,Dominican Republic
864,Emmanuel Mudiay,196,90,,1996,Kinshasa,Democratic Republic of the Congo
865,Xavier Munford,196,90,,1996,,
866,Raul Neto,185,81,,1992,Belo Horizonte,Brazil
867,J.J. O'Brien,185,81,,1992,,
868,Jahlil Okafor,211,124,Duke University,1995,Chicago,Illinois
869,Kelly Oubre,201,92,University of Kansas,1995,New Orleans,Louisiana
870,Lamar Patterson,196,102,University of Pittsburgh,1991,Lancaster,Pennsylvania
871,Cameron Payne,190,83,Murray State University,1994,Memphis,Tennessee
872,Tibor Pleiss,221,116,,1989,Bergisch Gladbach,Germany
873,Bobby Portis,211,104,University of Arkansas,1995,Little Rock,Arkansas
874,Kristaps Porzingis,221,108,,1995,Liepaja,Latvia
875,Norman Powell,193,97,"University of California, Los Angeles",1993,San Diego,California
876,Josh Richardson,198,90,University of Tennessee,1993,Edmond,Oklahoma
877,Terry Rozier,188,86,University of Louisville,1994,Youngstown,Ohio
878,D'Angelo Russell,188,86,,1994,,
879,Alex Stepheson,208,122,University of Southern California,1987,Los Angeles,California
880,Walter Tavares,221,117,,1992,Maio,Cape Verde
881,Axel Toupane,201,89,,1992,Mulhouse,France
882,Karl-Anthony Towns,213,110,University of Kentucky,1995,Edison,New Jersey
883,Myles Turner,211,110,University of Texas at Austin,1996,Bedford,Texas
884,Rashad Vaughn,198,91,"University of Nevada, Las Vegas",1996,Minneapolis,Minnesota
885,Briante Weber,188,74,Virginia Commonwealth University,1992,Chesapeake,Virginia
886,Justise Winslow,201,102,Duke University,1996,Houston,Texas
887,Christian Wood,211,99,"University of Nevada, Las Vegas",1995,Long Beach,California
888,Delon Wright,196,83,University of Utah,1992,Los Angeles,California
889,Joe Young,188,81,University of Oregon,1992,Houston,Texas
890,Alex Abrines,198,86,,1993,Palma de Mallorca,Spain
891,Ron Baker,193,99,Wichita State University,1993,Hays,Kansas
892,Wade Baldwin,193,91,Vanderbilt University,1996,Belle Mead,New Jersey
893,Malik Beasley,196,88,Florida State University,1996,Atlanta,Georgia
894,DeAndre' Bembry,198,95,Saint Joseph's University,1994,Charlotte,North Carolina
895,Dragan Bender,216,102,,1997,Capljina,Bosnia and Herzegovina
896,Ben Bentil,206,106,Providence College,1995,Ghana,
897,Davis Bertans,208,95,,1992,Valmiera,Latvia
898,Joel Bolomboy,206,106,Weber State University,1994,Kiev,Ukraine
899,Malcolm Brogdon,196,97,University of Virginia,1992,Atlanta,Georgia
900,Jaylen Brown,193,97,University of Missouri,1992,Oakland,California
901,Nicolas Brussino,201,88,,1993,Santa Fe,Argentina
902,Marquese Chriss,208,105,University of Washington,1997,Sacramento,California
903,Semaj Christon,190,86,Xavier University,1992,Cincinnati,Ohio
904,Quinn Cook,188,83,Duke University,1993,Washington,District of Columbia
905,Deyonta Davis,211,107,Michigan State University,1996,Muskegon,Michigan
906,Malcolm Delaney,190,86,Virginia Polytechnic Institute and State University,1989,Baltimore,Maryland
907,Cheick Diallo,206,99,University of Kansas,1996,Kayes,Mali
908,Kris Dunn,193,95,Providence College,1994,New London,Connecticut
909,Henry Ellenson,211,111,Marquette University,1997,Rice Lake,Wisconsin
910,Joel Embiid,213,113,University of Kansas,1994,Yaounde,Cameroon
911,Kay Felder,175,79,Oakland University,1995,Detroit,Michigan
912,Yogi Ferrell,183,81,Indiana University,1993,Indianapolis,Indiana
913,Dorian Finney-Smith,203,99,University of Florida,1993,Portsmouth,Virginia
914,Bryn Forbes,190,86,Michigan State University,1993,Lansing,Michigan
915,Patricio Garino,198,95,George Washington University,1993,Buenos Aires,Argentina
916,Michael Gbinije,201,90,Syracuse University,1992,Hartford,Connecticut
917,Marcus Georges-Hunt,196,97,Georgia Institute of Technology,1994,Miami,Florida
